,Date,Action,Ticker,Quantity,Price,Cash
0,2019-01-31,BUY,NVDA,290529,3.407104253768921,10137.40825676918
1,2019-01-31,BUY,TSLA,492,20.584667205810547,9.751991510391235
2,2019-02-28,SELL,NVDA,12749,3.8539788722991943,49144.12863445282
3,2019-02-28,BUY,TSLA,2342,20.982667922973633,2.7203588485717773
4,2019-03-06,SELL,TSLA,2834,18.43600082397461,52250.346693992615
5,2019-03-29,SELL,NVDA,25169,4.4001145362854,162996.82945775986
6,2019-03-29,BUY,TSLA,8775,18.57466697692871,4.126735210418701
7,2019-04-26,SELL,TSLA,8775,16.5086669921875,144867.67959165573
8,2019-04-30,SELL,NVDA,18473,4.451747894287109,227104.8184428215
9,2019-04-30,BUY,TSLA,14107,16.097999572753906,10.338469982147217
10,2019-05-18,SELL,TSLA,14107,14.0686674118042,198477.029648304
11,2019-05-31,BUY,NVDA,38293,3.4572551250457764,66088.35914492607
12,2019-05-31,BUY,TSLA,5266,12.54800033569336,10.589377164840698
13,2019-06-28,SELL,TSLA,3520,14.855999946594238,52303.70918917656
14,2019-06-28,BUY,NVDA,12893,4.056702136993408,0.6485369205474854
15,2019-07-31,SELL,NVDA,955,4.360402584075928,4164.8330047130585
16,2019-07-31,BUY,TSLA,257,16.150667190551758,14.111536741256714
17,2019-08-16,SELL,TSLA,2003,14.37600040435791,28809.24034667015
18,2019-08-30,BUY,NVDA,378,4.154505252838135,27238.837361097336
19,2019-08-30,BUY,TSLA,1842,14.780667304992676,12.848185300827026
20,2019-09-30,SELL,NVDA,2049,4.272919654846191,8768.060558080673
21,2019-09-30,BUY,TSLA,543,16.142000198364258,2.9544503688812256
22,2019-10-31,SELL,TSLA,929,21.000667572021484,19512.57462477684
23,2019-10-31,BUY,NFLX,13,291.45001220703125,15723.724466085434
24,2019-10-31,BUY,NVDA,3060,5.050086498260498,270.45978140830994
25,2019-11-29,SELL,TSLA,1456,22.086000442504883,32427.67642569542
26,2019-11-29,BUY,NFLX,12,315.92999267578125,28636.516513586044
27,2019-11-29,BUY,NVDA,5232,5.43322229385376,209.89747214317322
28,2019-12-31,SELL,NFLX,3,323.30999755859375,1179.8274648189545
29,2019-12-31,SELL,NVDA,11902,5.78375244140625,70018.04902243614
30,2019-12-31,BUY,CSCO,1731,40.44773483276367,3.020026922225952
