,Date,Action,Ticker,Quantity,Price,Cash
0,2019-01-31,BUY,NVDA,290529,3.407104730606079,10137.269721746445
1,2019-01-31,BUY,TSLA,492,20.584667205810547,9.61345648765564
2,2019-02-28,SELL,NVDA,12749,3.8539786338806152,49143.98705983162
3,2019-02-28,BUY,TSLA,2342,20.982667922973633,2.578784227371216
4,2019-03-06,SELL,TSLA,2834,18.43600082397461,52250.205119371414
5,2019-03-29,SELL,NVDA,25169,4.4001145362854,162996.68788313866
6,2019-03-29,BUY,TSLA,8775,18.57466697692871,3.9851605892181396
7,2019-04-26,SELL,TSLA,8775,16.5086669921875,144867.53801703453
8,2019-04-30,SELL,NVDA,18473,4.451748847961426,227104.69448542595
9,2019-04-30,BUY,TSLA,14107,16.097999572753906,10.214512586593628
10,2019-05-18,SELL,TSLA,14107,14.0686674118042,198476.90569090843
11,2019-05-31,BUY,NVDA,38293,3.4572553634643555,66088.22605776787
12,2019-05-31,BUY,TSLA,5266,12.54800033569336,10.456290006637573
13,2019-06-28,SELL,TSLA,3520,14.855999946594238,52303.576102018356
14,2019-06-28,BUY,NVDA,12893,4.056702136993408,0.5154497623443604
15,2019-07-31,SELL,NVDA,955,4.3604021072387695,4164.699462175369
16,2019-07-31,BUY,TSLA,257,16.150667190551758,13.977994203567505
17,2019-08-16,SELL,TSLA,2003,14.37600040435791,28809.10680413246
18,2019-08-30,BUY,NVDA,378,4.15450382232666,27238.704359292984
19,2019-08-30,BUY,TSLA,1842,14.780667304992676,12.71518349647522
20,2019-09-30,SELL,NVDA,2049,4.272921085357666,8767.930487394333
21,2019-09-30,BUY,TSLA,543,16.142000198364258,2.8243796825408936
22,2019-10-31,SELL,TSLA,929,21.000667572021484,19512.4445540905
23,2019-10-31,BUY,NFLX,13,291.45001220703125,15723.594395399094
24,2019-10-31,BUY,NVDA,3060,5.0500874519348145,270.3267924785614
25,2019-11-29,SELL,TSLA,1456,22.086000442504883,32427.54343676567
26,2019-11-29,BUY,NFLX,12,315.92999267578125,28636.383524656296
27,2019-11-29,BUY,NVDA,5232,5.43322229385376,209.76448321342468
28,2019-12-31,SELL,NFLX,3,323.30999755859375,1179.694475889206
29,2019-12-31,SELL,NVDA,11902,5.783751964569092,70017.91035819054
30,2019-12-31,BUY,CSCO,1731,40.44773483276367,2.8813626766204834
